id,path,label,label_id,split
3027,tf_flowers/tulips/03358.jpg,tulips,4,train
659,tf_flowers/sunflowers/02687.jpg,sunflowers,3,train
2804,tf_flowers/dandelion/01626.jpg,dandelion,1,train
2372,tf_flowers/dandelion/00395.jpg,dandelion,1,train
1733,tf_flowers/daisy/01091.jpg,daisy,0,train
1797,tf_flowers/daisy/03045.jpg,daisy,0,train
3224,tf_flowers/tulips/00618.jpg,tulips,4,train
117,tf_flowers/roses/01217.jpg,roses,2,train
1363,tf_flowers/daisy/02678.jpg,daisy,0,train
2923,tf_flowers/tulips/03162.jpg,tulips,4,train
1963,tf_flowers/daisy/02462.jpg,daisy,0,train
805,tf_flowers/sunflowers/02020.jpg,sunflowers,3,train
174,tf_flowers/roses/00227.jpg,roses,2,train
618,tf_flowers/roses/00328.jpg,roses,2,train
2214,tf_flowers/dandelion/01111.jpg,dandelion,1,train
273,tf_flowers/roses/00195.jpg,roses,2,train
3436,tf_flowers/tulips/01323.jpg,tulips,4,train
1574,tf_flowers/daisy/03274.jpg,daisy,0,train
1209,tf_flowers/sunflowers/01218.jpg,sunflowers,3,train
401,tf_flowers/roses/01293.jpg,roses,2,train
2232,tf_flowers/dandelion/00583.jpg,dandelion,1,train
3063,tf_flowers/tulips/00650.jpg,tulips,4,train
3111,tf_flowers/tulips/00420.jpg,tulips,4,train
314,tf_flowers/roses/01288.jpg,roses,2,train
619,tf_flowers/roses/02259.jpg,roses,2,train
3385,tf_flowers/tulips/02173.jpg,tulips,4,train
3107,tf_flowers/tulips/00391.jpg,tulips,4,train
1661,tf_flowers/daisy/02554.jpg,daisy,0,train
3534,tf_flowers/tulips/01408.jpg,tulips,4,train
1192,tf_flowers/sunflowers/02842.jpg,sunflowers,3,train
3643,tf_flowers/tulips/02853.jpg,tulips,4,train
1886,tf_flowers/daisy/01964.jpg,daisy,0,train
1140,tf_flowers/sunflowers/01486.jpg,sunflowers,3,train
3637,tf_flowers/tulips/00062.jpg,tulips,4,train
1528,tf_flowers/daisy/03538.jpg,daisy,0,train
2199,tf_flowers/dandelion/02721.jpg,dandelion,1,train
363,tf_flowers/roses/00601.jpg,roses,2,train
981,tf_flowers/sunflowers/00414.jpg,sunflowers,3,train
2930,tf_flowers/tulips/00127.jpg,tulips,4,train
2645,tf_flowers/dandelion/02274.jpg,dandelion,1,train
1896,tf_flowers/daisy/00129.jpg,daisy,0,train
3013,tf_flowers/tulips/01940.jpg,tulips,4,train
876,tf_flowers/sunflowers/00027.jpg,sunflowers,3,train
1882,tf_flowers/daisy/01804.jpg,daisy,0,train
3576,tf_flowers/tulips/01182.jpg,tulips,4,train
718,tf_flowers/sunflowers/00120.jpg,sunflowers,3,train
2219,tf_flowers/dandelion/03276.jpg,dandelion,1,train
1776,tf_flowers/daisy/02010.jpg,daisy,0,train
1806,tf_flowers/daisy/02944.jpg,daisy,0,train
1069,tf_flowers/sunflowers/01526.jpg,sunflowers,3,train
1094,tf_flowers/sunflowers/01491.jpg,sunflowers,3,train
3140,tf_flowers/tulips/01106.jpg,tulips,4,train
3297,tf_flowers/tulips/01454.jpg,tulips,4,train
3583,tf_flowers/tulips/03582.jpg,tulips,4,train
184,tf_flowers/roses/03289.jpg,roses,2,train
483,tf_flowers/roses/00558.jpg,roses,2,train
1169,tf_flowers/sunflowers/00107.jpg,sunflowers,3,train
3258,tf_flowers/tulips/01868.jpg,tulips,4,train
1413,tf_flowers/daisy/00508.jpg,daisy,0,train
1809,tf_flowers/daisy/03441.jpg,daisy,0,train
1394,tf_flowers/daisy/00284.jpg,daisy,0,train
2165,tf_flowers/dandelion/02668.jpg,dandelion,1,train
871,tf_flowers/sunflowers/00973.jpg,sunflowers,3,train
2529,tf_flowers/dandelion/03447.jpg,dandelion,1,train
658,tf_flowers/sunflowers/00090.jpg,sunflowers,3,train
3378,tf_flowers/tulips/01644.jpg,tulips,4,train
386,tf_flowers/roses/03282.jpg,roses,2,train
536,tf_flowers/roses/03394.jpg,roses,2,train
224,tf_flowers/roses/00740.jpg,roses,2,train
1582,tf_flowers/daisy/02977.jpg,daisy,0,train
3272,tf_flowers/tulips/02781.jpg,tulips,4,train
1506,tf_flowers/daisy/02286.jpg,daisy,0,train
289,tf_flowers/roses/00430.jpg,roses,2,train
336,tf_flowers/roses/00986.jpg,roses,2,train
3399,tf_flowers/tulips/01889.jpg,tulips,4,train
3571,tf_flowers/tulips/02299.jpg,tulips,4,train
1993,tf_flowers/dandelion/02296.jpg,dandelion,1,train
103,tf_flowers/roses/00294.jpg,roses,2,train
1340,tf_flowers/sunflowers/03422.jpg,sunflowers,3,train
2205,tf_flowers/dandelion/00810.jpg,dandelion,1,train
2877,tf_flowers/tulips/00697.jpg,tulips,4,train
1270,tf_flowers/sunflowers/01814.jpg,sunflowers,3,train
2024,tf_flowers/dandelion/02240.jpg,dandelion,1,train
3234,tf_flowers/tulips/02409.jpg,tulips,4,train
954,tf_flowers/sunflowers/03515.jpg,sunflowers,3,train
161,tf_flowers/roses/02034.jpg,roses,2,train
1037,tf_flowers/sunflowers/02604.jpg,sunflowers,3,train
1666,tf_flowers/daisy/00170.jpg,daisy,0,train
1703,tf_flowers/daisy/01535.jpg,daisy,0,train
1352,tf_flowers/daisy/00287.jpg,daisy,0,train
331,tf_flowers/roses/02439.jpg,roses,2,train
3026,tf_flowers/tulips/00889.jpg,tulips,4,train
556,tf_flowers/roses/02458.jpg,roses,2,train
2145,tf_flowers/dandelion/00651.jpg,dandelion,1,train
68,tf_flowers/roses/02280.jpg,roses,2,train
3257,tf_flowers/tulips/01840.jpg,tulips,4,train
3084,tf_flowers/tulips/02626.jpg,tulips,4,train
3049,tf_flowers/tulips/02866.jpg,tulips,4,train
3248,tf_flowers/tulips/02839.jpg,tulips,4,train
425,tf_flowers/roses/03279.jpg,roses,2,train
1816,tf_flowers/daisy/01796.jpg,daisy,0,train
2380,tf_flowers/dandelion/01896.jpg,dandelion,1,train
567,tf_flowers/roses/00844.jpg,roses,2,train
1199,tf_flowers/sunflowers/03194.jpg,sunflowers,3,train
986,tf_flowers/sunflowers/01118.jpg,sunflowers,3,train
3117,tf_flowers/tulips/02009.jpg,tulips,4,train
3586,tf_flowers/tulips/02663.jpg,tulips,4,train
1492,tf_flowers/daisy/03588.jpg,daisy,0,train
2859,tf_flowers/dandelion/01143.jpg,dandelion,1,train
1281,tf_flowers/sunflowers/00048.jpg,sunflowers,3,train
2704,tf_flowers/dandelion/02511.jpg,dandelion,1,train
889,tf_flowers/sunflowers/01073.jpg,sunflowers,3,train
